id;name;species;breed;sex;date_of_birth;weight;allergies;notes;image_url
1;beside forecast whose;youthful variable unlike;metal haul;exaggerate detain;2025-10-16;19521.68;agreeable wherever dulcimer;why concerning wire;baritone rotating
2;CD;pile fashion hydrant;eke;horse alongside conversation;2025-10-16;29505.34;creak hornet to;finished next synergy;alongside since
3;underneath aha qua;silently;corral;scaffold;2025-10-16;2446.22;measly during officially;woot enraged;ah modulo absent
4;excitedly aw;carpool cautious contravene;more soulful;positively reassuringly;2025-10-16;15462.34;scrape and;supposing yet;whoa scrap
5;squirm quaintly excepting;psst;finally slake;outnumber experienced these;2025-10-17;19378.69;ick judicious phooey;lest skateboard;certainly sham
6;gadzooks yieldingly;whereas;hasty for transcend;anti reproachfully;2025-10-17;27468.27;broadside whoever;ah however misappropriate;dereference regularly
7;uh-huh;geez christen;haul;oh thoughtfully cultivated;2025-10-16;3588.36;inasmuch;once manage morning;onto playfully colorize
8;pfft;utterly like;yearningly sedately;incidentally reckon provided;2025-10-16;25954.9;key;underneath lest er;upsell duster
9;under after;even midst supposing;steel massage ack;but finally for;2025-10-16;23125.71;courageous woot strictly;up how noisily;iterate under round
10;gadzooks;provision colorfully torn;boohoo;murky upon apropos;2025-10-16;14923.89;like;behold ah in;restructure mid
